timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
177611986,177611424,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177763491,177762953,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177768409,177767841,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177773270,177772730,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177778169,177777619,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177783077,177782504,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177787937,177787391,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177792859,177792317,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177797802,177797187,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177802581,177802056,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177807529,177806990,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177812418,177811832,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177817333,177816722,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177822144,177821608,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177827065,177826496,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177831944,177831383,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177836810,177836272,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177841702,177841160,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177846579,177846047,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177851475,177850936,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177856361,177855825,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177861246,177860712,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177866138,177865600,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177871079,177870488,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177875918,177875376,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177880815,177880264,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177885695,177885152,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177890574,177890040,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177895470,177894928,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177900348,177899817,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177905265,177904704,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177910131,177909592,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177915021,177914480,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177919926,177919368,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177924880,177924256,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177929678,177929144,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177934572,177934033,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177939494,177938920,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177944346,177943809,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177949248,177948698,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177954156,177953620,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177959012,177958472,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177963891,177963360,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177968824,177968248,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177973683,177973137,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177978568,177978024,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177983496,177982913,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177988375,177987803,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177993227,177992689,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
177998145,177997576,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178003002,178002463,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178007883,178007352,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178012815,178012240,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178017668,178017127,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178022553,178022016,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178027445,178026904,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178032362,178031793,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178037218,178036680,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178042109,178041568,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178046986,178046456,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178051896,178051344,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178056777,178056232,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178061654,178061121,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178066548,178066009,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178071433,178070898,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178076326,178075785,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178081267,178080692,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178086102,178085560,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178091033,178090448,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178095877,178095336,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178100758,178100224,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178105645,178105111,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178110568,178109999,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178115430,178114888,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178120355,178119818,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178125279,178124664,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178130092,178129552,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178134989,178134440,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178139920,178139327,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178144752,178144216,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178149641,178149103,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178154526,178153993,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178159489,178158928,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178164301,178163768,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178169255,178168656,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178174092,178173545,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178178971,178178432,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178183897,178183321,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178188747,178188208,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178193643,178193097,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178198522,178197985,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178203411,178202872,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
178208292,178207761,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
