timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
302908178,302907612,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303064588,303064028,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303069469,303068915,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303074352,303073802,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303079247,303078692,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303084108,303083579,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303088994,303088467,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303093915,303093355,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303098792,303098243,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303103657,303103131,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303108581,303108020,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303113436,303112907,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303118319,303117796,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303123211,303122683,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303128099,303127571,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
303132987,303132459,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303137877,303137347,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303142762,303142235,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303147656,303147123,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303152532,303152011,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
303157429,303156899,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
