timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
251760104,251759579,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251901882,251901331,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251906761,251906224,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251911691,251911107,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251916525,251915995,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251921412,251920883,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251926386,251925800,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251931188,251930659,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251936075,251935547,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251940998,251940435,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251945855,251945323,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251950745,251950211,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251955653,251955098,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251960517,251959987,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251965402,251964874,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251970300,251969763,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251975178,251974652,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251980072,251979539,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251984983,251984456,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251989855,251989329,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251994807,251994203,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
251999617,251999092,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252004506,252003979,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252009422,252008867,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252014315,252013757,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252019167,252018643,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252024063,252023531,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252028958,252028419,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252033836,252033308,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252038756,252038196,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252043606,252043083,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252048503,252047971,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252053420,252052860,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252058279,252057748,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252063159,252062635,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252068091,252067523,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252072932,252072411,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252077828,252077299,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252082776,252082187,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252087605,252087075,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252092484,252091963,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252097418,252096851,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252102312,252101741,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252107165,252106630,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252112046,252111515,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252116952,252116403,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252121846,252121291,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252126760,252126224,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252131600,252131068,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252136478,252135955,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252141372,252140843,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252146278,252145747,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252151170,252150621,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
252156034,252155507,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
