Row,Model_1,Model_2
c_L_0,0.180316238781993,0.133172137867369
c_L_alpha,2.81140679689042,0.37978339648671
c_L_q,11.0434093436814,12.5480119457629
c_L_delta_e,0.597903199044699,0.405967665852699
c_D_p,0.115176609765913,0.135536972773122
c_D_alpha,0.223030676628374,0.48780637382877
c_D_alpha_sq,0.279956415567735,0.305499023945175
c_D_q,-0.776588511613593,0.758027809194356
c_D_delta_e,0.0040138197462878,0.0291234774231905
c_m_0,0.00257887875824072,1.98502635639013e-06
c_m_alpha,-0.964604833186659,-1.68587437529337
c_m_q,-4.50827808860177,-14.5570295808177
c_m_delta_e,-1.17984857562337,-2.3595506985533
c_Y_beta,-0.351976,-0.351976
c_Y_p,0.112085,0.112085
c_Y_r,0.258965,0.258965
c_Y_delta_a,-0.00057,-0.00057
c_Y_delta_r,0.00558,0.00558
c_l_beta,-0.02498,-0.02498
c_l_p,-0.472,-0.472
c_l_r,0.141,0.141
c_l_delta_a,0.283041150794627,0.283041150794627
c_l_delta_r,-0.00830788802939694,-0.00830788802939694
c_n_beta,0.11104,0.11104
c_n_p,-0.0635,-0.0635
c_n_r,-0.0869,-0.0869
c_n_delta_a,0.0103132403123548,0.0103132403123548
c_n_delta_r,-0.108861981074856,-0.108861981074856
