timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
31084964,31084,1,1,1,0,0,0,0,0
31595669,31084,1,1,1,0,0,0,0,0
32101686,31084,1,1,1,0,0,0,0,0
32607696,31084,1,1,1,0,0,0,0,0
33113697,31084,1,1,1,0,0,0,0,0
33619671,31084,1,1,1,0,0,0,0,0
34125670,31084,1,1,1,0,0,0,0,0
34631671,31084,1,1,1,0,0,0,0,0
35137713,31084,1,1,1,0,0,0,0,0
35643672,31084,1,1,1,0,0,0,0,0
36149671,31084,1,1,1,0,0,0,0,0
36655690,31084,1,1,1,0,0,0,0,0
37161672,31084,1,1,1,0,0,0,0,0
37667817,31084,1,1,1,0,0,0,0,0
38173670,31084,1,1,1,0,0,0,0,0
38679669,31084,1,1,1,0,0,0,0,0
39185670,31084,1,1,1,0,0,0,0,0
39691761,31084,1,1,1,0,0,0,0,0
40198191,31084,1,1,1,0,0,0,0,0
40703683,31084,1,1,1,0,0,0,0,0
41209855,31084,1,1,1,0,0,0,0,0
41715669,31084,1,1,1,0,0,0,0,0
42221698,31084,1,1,1,0,0,0,0,0
42727710,31084,1,1,1,0,0,0,0,0
43233669,31084,1,1,1,0,0,0,0,0
43739669,31084,1,1,1,0,0,0,0,0
44245680,31084,1,1,1,0,0,0,0,0
44751670,31084,1,1,1,0,0,0,0,0
45257669,31084,1,1,1,0,0,0,0,0
45763669,31084,1,1,1,0,0,0,0,0
46269667,31084,1,1,1,0,0,0,0,0
46775707,31084,1,1,1,0,0,0,0,0
47281694,31084,1,1,1,0,0,0,0,0
47787718,31084,1,1,1,0,0,0,0,0
48293669,31084,1,1,1,0,0,0,0,0
48799692,31084,1,1,1,0,0,0,0,0
49305671,31084,1,1,1,0,0,0,0,0
49811672,31084,1,1,1,0,0,0,0,0
50317674,31084,1,1,1,0,0,0,0,0
50405695,31084,1,1,1,0,0,0,0,0
50911695,31084,1,1,1,0,0,0,0,0
52935671,31084,1,1,1,0,0,0,0,0
53441718,31084,1,1,1,0,0,0,0,0
53948008,31084,1,1,1,0,0,0,0,0
54453668,31084,1,1,1,0,0,0,0,0
54959670,31084,1,1,1,0,0,0,0,0
55465669,31084,1,1,1,0,0,0,0,0
55971668,31084,1,1,1,0,0,0,0,0
56280107,31084,1,1,1,0,0,0,0,1
56785670,31084,1,1,1,0,0,0,0,1
57291668,31084,1,1,1,0,0,0,0,1
57797693,31084,1,1,1,0,0,0,0,1
58303670,31084,1,1,1,0,0,0,0,1
58809718,31084,1,1,1,0,0,0,0,1
59315671,31084,1,1,1,0,0,0,0,1
59821666,31084,1,1,1,0,0,0,0,1
60327718,31084,1,1,1,0,0,0,0,1
60833669,31084,1,1,1,0,0,0,0,1
61339670,31084,1,1,1,0,0,0,0,1
61845671,31084,1,1,1,0,0,0,0,1
62351707,31084,1,1,1,0,0,0,0,1
62857669,31084,1,1,1,0,0,0,0,1
63363685,31084,1,1,1,0,0,0,0,1
