timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
31068101,-2.130474,-2.130474,-2.1453118,0.014292362,0.014786232,1,1
32068104,-6.8204956,-6.8204956,-6.8674307,0.2659155,0.2751083,1,1
33068107,-6.70192,-6.70192,-6.748986,1.1328533,1.1722077,1,1
34068119,1.2325138,1.2325138,1.2411861,1.8115083,1.8745581,1,1
35068101,4.509296,4.509296,4.5416603,2.868072,2.9684308,1,1
36068101,3.1684253,3.1684253,3.1917574,3.746956,3.8790035,1,1
37068106,3.4885516,3.4885516,3.5148304,4.037879,4.1811213,1,1
38068125,5.4084,5.4084,5.451035,4.3690405,4.5253143,1,1
39068101,4.509465,4.509465,4.5450296,3.8656456,4.005232,1,1
40068102,4.371934,4.371934,4.407335,3.1034813,3.2163925,1,1
41068102,4.9558334,4.9558334,4.996729,3.2301114,3.34832,1,1
42068102,4.766788,4.766788,4.80714,3.618031,3.7514107,1,1
43068125,4.673963,4.673963,4.714426,3.7004306,3.8378263,1,1
44068122,5.9638314,5.9638314,6.016136,3.4199717,3.5479288,1,1
45068121,6.419459,6.419459,6.4762473,3.2765276,3.39972,1,1
46068124,7.1765203,7.1765203,7.241526,3.1209667,3.239192,1,1
47068102,7.5624857,7.5624857,7.6321883,3.4072015,3.5369866,1,1
48068101,7.033725,7.033725,7.098426,3.617069,3.7555733,1,1
49068146,6.6168003,6.6168003,6.678421,3.3895702,3.5199053,1,1
50068155,6.5010996,6.5010996,6.563752,3.2177076,3.3423903,1,1
53068102,11.668191,11.668191,11.779469,6.524989,6.7805204,1,1
54068101,13.860222,13.860222,13.993386,9.553132,9.928284,1,1
55068101,17.070272,17.070272,17.233393,12.64062,13.136762,1,1
56068111,20.335133,20.335133,20.530615,15.611069,16.225845,1,1
57068105,21.623468,21.623468,21.8289,16.874702,17.538792,1,1
58068101,24.154354,24.154354,24.379354,18.632317,19.365719,1,1
59068101,26.237415,26.237415,26.478292,19.886484,20.667334,1,1
60068101,26.876156,26.876156,27.12275,20.036545,20.824587,1,1
61068101,25.873833,25.873833,26.112122,19.605415,20.377474,1,1
62068101,26.025284,26.025284,26.262512,19.260262,20.022009,1,1
63068121,25.55559,25.55559,25.797062,18.871277,19.621288,1,1
64068193,24.61287,24.61287,24.844995,18.361498,19.095123,1,1
65068101,23.658396,23.658396,23.886263,17.860664,18.578394,1,1
66068101,22.68967,22.68967,22.912258,17.168966,17.86266,1,1
67068101,21.00123,21.00123,21.21097,16.679733,17.357782,1,1
68068100,19.63638,19.63638,19.833939,16.563328,17.239641,1,1
69068110,19.097067,19.097067,19.290096,17.01563,17.713491,1,1
70068101,18.946568,18.946568,19.140131,17.36961,18.08489,1,1
71068101,19.121977,19.121977,19.319725,17.982958,18.72657,1,1
72068101,19.627571,19.627571,19.83325,18.836103,19.617783,1,1
73068101,20.549671,20.549671,20.762547,19.585161,20.40005,1,1
74068101,21.729965,21.729965,21.958899,20.530624,21.387209,1,1
75068102,22.707117,22.707117,22.945072,21.560215,22.461546,1,1
76068101,24.429443,24.429443,24.687786,22.366112,23.303448,1,1
77068098,23.966208,23.966208,24.221903,22.303484,23.241241,1,1
78068102,24.062561,24.062561,24.319029,22.025444,22.955873,1,1
79068100,24.489374,24.489374,24.75519,22.29571,23.241604,1,1
80068101,24.4785,24.4785,24.745527,22.44083,23.39535,1,1
81068123,25.222881,25.222881,25.500334,23.019655,24.00277,1,1
82068102,25.349926,25.349926,25.630417,23.060694,24.047861,1,1
83068101,25.463945,25.463945,25.750181,23.10174,24.095484,1,1
84068101,25.239908,25.239908,25.522621,23.022533,24.01644,1,1
85068101,25.49757,25.49757,25.788582,22.822989,23.81369,1,1
86068101,25.225273,25.225273,25.5132,22.536797,23.519958,1,1
87068101,25.262434,25.262434,25.56051,21.979801,22.944445,1,1
88068101,24.736996,24.736996,25.032066,21.08941,22.021126,1,1
89068124,23.612272,23.612272,23.899338,20.25412,21.154968,1,1
90068100,23.04257,23.04257,23.328049,19.492962,20.36527,1,1
91068101,22.177979,22.177979,22.457033,18.519508,19.353424,1,1
92068101,21.383554,21.383554,21.655048,17.52427,18.318043,1,1
93068104,20.827696,20.827696,21.098,16.755146,17.519587,1,1
94068101,20.162132,20.162132,20.424755,16.180162,16.922377,1,1
95068101,19.741673,19.741673,20.006426,16.145351,16.889719,1,1
96068101,20.269802,20.269802,20.544985,16.822805,17.601791,1,1
97068102,21.199059,21.199059,21.48763,17.880022,18.709827,1,1
98068100,22.365952,22.365952,22.667452,19.186747,20.078356,1,1
99068122,23.859846,23.859846,24.182158,20.774141,21.740911,1,1
100068101,24.303057,24.303057,24.630373,21.656641,22.663914,1,1
101068101,24.48516,24.48516,24.812344,21.910158,22.927969,1,1
102068101,24.127117,24.127117,24.444435,21.693745,22.700796,1,1
103068101,23.514275,23.514275,23.820967,21.332172,22.320887,1,1
104068101,23.5392,23.5392,23.844557,21.248459,22.232265,1,1
105068104,24.220118,24.220118,24.528368,21.241955,22.224112,1,1
106068101,23.43826,23.43826,23.736267,21.027718,21.996572,1,1
107068101,23.534294,23.534294,23.830862,20.681782,21.632925,1,1
108068102,23.445238,23.445238,23.733313,20.46775,21.40651,1,1
109068101,22.938324,22.938324,23.218893,20.294987,21.223042,1,1
110068101,22.721737,22.721737,22.99041,20.169163,21.089014,1,1
111068120,22.66715,22.66715,22.936966,20.064192,20.976742,1,1
112068101,23.069818,23.069818,23.335203,19.945787,20.849789,1,1
113068248,22.771738,22.771738,23.030907,19.776072,20.670818,1,1
118068101,18.114794,18.114794,18.312254,16.41646,17.155472,1,1
119068101,21.19047,21.19047,21.415245,18.45138,19.27625,1,1
