timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
31409386,49.954227,50.113457,4.9266768,2.4685197,0.0,0.4475106,0.99992603,1.0,nan,12,4.176121,4.176121,4.176121,4.176121,4.176121,4.176121,4.176121,4.176121,4.176121,4.176121,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
31709078,49.599655,50.042603,10.059167,3.9164414,0.0,0.9083068,0.9998491,1.0,nan,12,4.170217,4.170217,4.170217,4.170217,4.170217,4.170217,4.170217,4.170217,4.170217,4.170217,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
32009096,46.65122,49.467037,65.84446,23.114971,0.0,4.5641265,0.9992399,1.0,nan,12,4.122253,4.122253,4.122253,4.122253,4.122253,4.122253,4.122253,4.122253,4.122253,4.122253,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
32309079,46.919777,48.802555,59.014,40.704807,0.0,9.766891,0.9983728,1.0,nan,12,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,4.0668797,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
32609121,46.80796,48.307106,57.544357,50.0769,0.0,14.906189,0.9975163,1.0,nan,12,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,4.0255923,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
32909078,46.76973,47.91518,63.165653,55.271553,0.0,20.020374,0.99666387,1.0,nan,12,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,3.9929316,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
33209101,46.737236,47.55711,61.25544,59.62198,0.0,25.519808,0.9957472,1.0,nan,12,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,3.9630926,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
33509078,46.804134,47.333946,55.097095,59.91585,0.0,30.55969,0.99490714,1.0,nan,12,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,3.9444954,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
33809449,46.28804,47.10568,67.648544,61.71448,0.0,35.888657,0.99401903,1.0,nan,12,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,3.9254732,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
34109078,45.496696,46.737892,82.608665,69.95693,0.0,42.513187,0.99291503,1.0,nan,12,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,3.8948243,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
