timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
31111898,0.0,0.0,2,28,65527,65536,0,3,127
32112473,192.0,191.08775,2,643,10408,65536,0,3,127
33113420,358.8291,178.90271,2,1263,5138,65536,0,3,127
34114422,520.49414,173.11005,2,1878,4705,65536,0,3,127
35115380,678.99805,169.42412,2,2498,7235,65536,0,3,127
36116403,840.3799,167.78387,2,3118,6847,65536,0,3,127
37117407,1003.7197,167.01639,2,3733,4460,65536,0,3,127
38118374,1164.9229,166.16412,2,4353,4255,65536,0,3,127
39119349,1326.1543,165.52821,2,4968,3992,65536,0,3,127
40120374,1485.0938,164.77835,2,5588,6748,65536,0,3,127
41121343,1647.9375,164.56921,2,6203,4226,65536,0,3,127
42122399,1805.3623,163.9048,2,6823,8340,65536,0,3,127
43123379,1969.4922,163.91016,2,7443,5331,65536,0,3,127
44124367,2130.3125,163.66035,2,8058,5489,65536,0,3,127
45125350,2292.9521,163.57605,2,8678,3813,65536,0,3,127
46126373,2450.3525,163.15372,2,9293,7508,65536,0,3,127
47127388,2614.2715,163.19115,2,9913,4522,65536,0,3,127
48128443,2774.412,163.0018,2,10529,5559,65536,0,3,127
49129351,2938.123,163.03294,2,11148,2950,65536,0,3,127
50130464,3093.0684,162.59825,2,11768,9628,65536,0,3,127
53133390,3244.083,147.28632,6,13141,2855,65536,0,3,127
54134352,3401.3418,147.71324,6,13637,3313,65536,0,3,127
55135581,3559.329,148.13329,6,14133,3247,65536,0,3,127
56136346,3716.038,148.47139,6,14625,3956,65536,0,3,127
57137387,3865.3975,148.49957,6,14907,3339,65536,0,3,127
58138350,4012.546,148.44429,6,15153,3327,65536,0,3,127
59139353,4160.0,148.40364,6,15401,2948,65536,0,3,127
60140345,4306.3193,148.3268,6,15647,3532,65536,0,3,127
61141343,4454.9863,148.33319,6,15895,2174,65536,0,3,127
62142432,4600.1104,148.2246,6,16143,4210,65536,0,3,127
63143351,4748.76,148.23358,6,16389,2848,65536,0,3,127
64144351,4894.377,148.1499,6,16637,4613,65536,0,3,127
65145344,5041.3496,148.111,6,16883,4569,65536,0,3,127
66146351,5188.4336,148.07742,6,17131,4557,65536,0,3,127
67147384,5335.3516,148.04103,6,17377,4822,65536,0,3,127
68148348,5483.912,148.0512,6,17625,3310,65536,0,3,127
69149463,5632.0,148.04782,6,17873,2270,65536,0,3,127
70150363,5777.7637,147.9859,6,18119,3544,65536,0,3,127
71151370,5922.9033,147.9111,6,18367,5523,65536,0,3,127
72152388,6070.4395,147.8983,6,18613,5396,65536,0,3,127
73153381,6221.717,147.97517,6,18861,1336,65536,0,3,127
74154346,6366.0264,147.88669,6,19107,3573,65536,0,3,127
75155374,6511.115,147.81972,6,19355,6050,65536,0,3,127
76156352,6660.133,147.84311,6,19603,4333,65536,0,3,127
77157444,6805.783,147.79198,6,19849,5564,65536,0,3,127
78158353,6955.708,147.83446,6,20097,2614,65536,0,3,127
79159372,7104.0,147.84085,6,20343,1482,65536,0,3,127
80160351,7250.368,147.80788,6,20591,2174,65536,0,3,127
81161348,7394.459,147.73067,6,20837,5100,65536,0,3,127
82162388,7544.5986,147.77484,6,21085,2684,65536,0,3,127
83163584,7688.748,147.7018,6,21333,5648,65536,0,3,127
84164369,7838.372,147.73584,6,21579,2889,65536,0,3,127
85165371,7984.8623,147.71007,6,21827,3760,65536,0,3,127
86166348,8132.25,147.7016,6,22073,3269,65536,0,3,127
87167384,8279.169,147.68489,6,22321,3467,65536,0,3,127
88168346,8427.792,147.69885,6,22567,1967,65536,0,3,127
89169352,8568.92,147.58311,6,22815,7856,65536,0,3,127
90170376,8721.834,147.67082,6,23063,1915,65536,0,3,127
91171364,8867.251,147.63087,6,23309,4167,65536,0,3,127
92172410,9015.836,147.64395,6,23557,2614,65536,0,3,127
93173393,9161.243,147.60559,6,23803,3646,65536,0,3,127
94174375,9309.6455,147.61592,6,24051,2932,65536,0,3,127
95175443,9455.285,147.58261,6,24298,4231,65536,0,3,127
96176347,9604.127,147.59991,6,24545,2460,65536,0,3,127
97177386,9749.516,147.56412,6,24793,4459,65536,0,3,127
98178347,9896.217,147.54915,6,25039,4681,65536,0,3,127
99179355,10044.611,147.55939,6,25287,3339,65536,0,3,127
100180385,10190.219,147.52892,6,25533,5396,65536,0,3,127
101181348,10334.328,147.47809,6,25781,7980,65536,0,3,127
102183044,10484.239,147.5088,6,26029,5535,65536,0,3,127
103183348,10632.874,147.5238,6,26275,3573,65536,0,3,127
104184360,10778.291,147.49294,6,26523,5718,65536,0,3,127
105185348,10928.921,147.53331,6,26769,1948,65536,0,3,127
106186353,11076.226,147.52829,6,27017,1915,65536,0,3,127
107187377,11221.564,147.49753,6,27263,3573,65536,0,3,127
108188346,11367.429,147.47449,6,27511,4822,65536,0,3,127
109189378,11517.568,147.50667,6,27759,1915,65536,0,3,127
110190347,11661.649,147.46155,6,28005,4851,65536,0,3,127
111191358,11811.342,147.48753,6,28253,2655,65536,0,3,127
112192376,11958.93,147.48692,6,28499,1728,65536,0,3,127
113193364,12104.569,147.46265,6,28747,3294,65536,0,3,127
118198352,12302.948,141.26599,10,29983,3442,65536,0,3,127
119199352,12451.509,141.3472,10,30229,1791,65536,0,3,127
120200358,12596.98,141.3919,10,30477,3851,65536,0,3,127
121201344,12744.127,141.45422,10,30723,3420,65536,0,3,127
122202380,12889.277,141.4932,10,30971,5809,65536,0,3,127
123203358,13039.449,141.58592,10,31219,2738,65536,0,3,127
124204353,13184.0,141.61626,10,31465,5427,65536,0,3,127
125205586,13333.712,141.70044,10,31713,2695,65536,0,3,127
126206345,13478.883,141.7358,10,31959,4525,65536,0,3,127
127207383,13626.027,141.79056,10,32207,4749,65536,0,3,127
128208349,13772.976,141.84225,10,32453,4749,65536,0,3,127
129209383,13922.465,141.9187,10,32701,2724,65536,0,3,127
130210529,14067.127,141.94476,10,32949,5463,65536,0,3,127
131211369,14216.71,142.01987,10,33195,2259,65536,0,3,127
132212387,14361.906,142.04985,10,33443,4426,65536,0,3,127
133213356,14507.977,142.08789,10,33689,5800,65536,0,3,127
134214353,14656.0,142.14407,10,33937,4826,65536,0,3,127
135215347,14802.025,142.18001,10,34183,5817,65536,0,3,127
136216353,14950.006,142.23383,10,34431,4928,65536,0,3,127
137217414,15096.296,142.27063,10,34679,5729,65536,0,3,127
138218394,15244.638,142.326,10,34925,4536,65536,0,3,127
139219561,15391.185,142.36351,10,35173,5524,65536,0,3,127
140220401,15541.329,142.43373,10,35419,1701,65536,0,3,127
141221349,15684.09,142.43547,10,35670,6084,65536,0,3,127
142222479,15834.72,142.50777,10,35918,2785,65536,0,3,127
143223354,15982.061,142.54976,10,36164,2489,65536,0,3,127
144224353,16128.0,142.57848,10,36412,3924,65536,0,3,127
145225345,16273.0205,142.59863,10,36658,5838,65536,0,3,127
146226384,16423.395,142.66489,10,36906,2574,65536,0,3,127
147227380,16569.904,142.69678,10,37152,3152,65536,0,3,127
148228350,16716.834,142.73174,10,37400,3402,65536,0,3,127
149229708,16863.945,142.76718,10,37648,3719,65536,0,3,127
150230344,17012.158,142.81212,10,37894,2282,65536,0,3,127
151231356,17156.234,142.82144,10,38142,5874,65536,0,3,127
152232382,17302.268,142.84676,10,38388,6386,65536,0,3,127
153233355,17451.6,142.89871,10,38636,4797,65536,0,3,127
154234345,17600.0,142.94225,10,38882,2800,65536,0,3,127
155235352,17745.898,142.96489,10,39130,4544,65536,0,3,127
156236397,17894.291,143.0071,10,39378,3398,65536,0,3,127
157237384,18040.389,143.03047,10,39624,4298,65536,0,3,127
158238646,18188.184,143.06653,10,39872,3881,65536,0,3,127
159239348,18333.629,143.0843,10,40118,5185,65536,0,3,127
162242389,18432.0,140.55777,14,40860,61662,65536,0,3,127
163243934,18628.379,140.97858,17,41108,5822,65536,0,3,127
164244353,18778.145,141.04414,17,41354,2712,65536,0,3,127
165245388,18924.0,141.07892,17,41602,4204,65536,0,3,127
166246353,19072.0,141.12912,17,41848,3128,65536,0,3,127
167247384,19217.518,141.16031,17,42096,4720,65536,0,3,127
168248345,19367.324,141.22235,17,42342,2009,65536,0,3,127
169249373,19511.719,141.24425,17,42590,4790,65536,0,3,127
170250351,19660.807,141.29964,17,42838,2698,65536,0,3,127
171251346,19805.559,141.32327,17,43084,5207,65536,0,3,127
172252576,19955.98,141.3865,17,43332,2266,65536,0,3,127
173253345,20100.04,141.40453,17,43578,5141,65536,0,3,127
174254359,20246.521,141.43901,17,43826,6045,65536,0,3,127
175255354,20396.098,141.49449,17,44072,3283,65536,0,3,127
176256374,20544.0,141.53764,17,44320,2475,65536,0,3,127
177257387,20689.414,141.56317,17,44568,4477,65536,0,3,127
178258369,20838.562,141.61377,17,44814,2163,65536,0,3,127
179259372,20984.824,141.64418,17,45062,3034,65536,0,3,127
180260456,21105.094,141.49986,17,45308,31008,65536,0,3,127
181261365,21248.0,141.50836,20,45556,3769,65536,0,3,127
182262377,21396.715,141.5551,20,45802,1771,65536,0,3,127
183263352,21543.195,141.58656,20,46050,2654,65536,0,3,127
184264382,21689.209,141.6145,20,46298,3737,65536,0,3,127
185265355,21836.98,141.65355,20,46544,2866,65536,0,3,127
