timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
30711542,0.045,1.3410001,376,1028,-466,0,466,0,0,0,0,1551,1476,1000,1523,900,900,900,900,1465,1530,995,1995,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
32146065,0.045,1.5320001,376,1387,1544,-10000,-1544,1391,-1411,-1339,-2377,1569,1577,950,1421,1569,1429,1433,1381,1465,1530,1504,1508,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
33160398,0.045,1.6830001,376,839,541,-10000,-541,982,-194,-1891,-2897,1541,1527,950,1472,1549,1490,1405,1355,1465,1530,1500,1508,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
34182195,0.048,1.6400001,376,1015,573,-10000,-573,2161,531,1336,-28,1550,1528,950,1471,1608,1526,1566,1498,1465,1512,1590,1505,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
35201029,0.043,1.562,376,577,216,-10000,-216,1095,65,2366,562,1528,1510,950,1489,1554,1503,1618,1528,1465,1530,1594,1221,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
36222479,0.045,1.6600001,376,1474,-1663,-10000,1663,1343,529,808,145,1573,1416,950,1583,1567,1527,1541,1507,1470,1641,1577,1186,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
37247206,0.045,1.422,376,1218,440,-10000,-440,926,598,1368,384,1560,1522,950,1478,1546,1529,1568,1519,1444,1618,1583,1206,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
38273376,0.043,1.2320001,376,1101,-531,-10000,531,934,182,-826,-1361,1555,1473,950,1526,1546,1509,1456,1431,1458,1589,1528,1559,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
39297097,0.048,1.3470001,376,-1696,-650,-10000,626,15,-471,204,-372,1415,1467,950,1531,1500,1476,1510,1481,1465,1576,1534,1501,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
40318878,0.045,1.5350001,376,701,293,-10000,-293,1259,653,611,-299,1535,1514,950,1485,1562,1532,1530,1485,1465,1544,1570,1397,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
41338280,0.055000003,1.1910001,376,620,-56,-10000,56,1032,504,723,53,1531,1497,950,1502,1551,1525,1536,1502,1465,1530,1571,1473,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
42357177,0.045,1.4130001,376,688,-50,-10000,50,972,835,1957,1123,1534,1497,950,1502,1548,1541,1597,1556,1465,1567,1599,1355,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
43381385,0.045,1.4610001,376,816,-198,-10000,198,962,566,166,-358,1540,1490,950,1509,1549,1526,1508,1482,1465,1649,1560,1495,995,995,995,995,1495,1495,995,995,995,1495,995,995,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
