timestamp,safety_switch_available,safety_off,override_available,override_enabled
30593847,1,1,0,0
31610558,1,1,0,0
32627043,1,1,0,0
33641183,1,1,0,0
34641191,1,1,0,0
35659940,1,1,0,0
36664503,1,1,0,0
37666550,1,1,0,0
38688186,1,1,0,0
39692475,1,1,0,0
40712018,1,1,0,0
41733605,1,1,0,0
42752365,1,1,0,0
43773953,1,1,0,0
44795568,1,1,0,0
45814926,1,1,0,0
46836443,1,1,0,0
47855453,1,1,0,0
48872229,1,1,0,0
49888848,1,1,0,0
50905600,1,1,0,0
52926896,1,1,0,0
53929090,1,1,0,0
54931003,1,1,0,0
55933264,1,1,0,0
56952015,1,1,0,0
57954058,1,1,0,0
58956080,1,1,0,0
59958122,1,1,0,0
60960218,1,1,0,0
61962232,1,1,0,0
62964248,1,1,0,0
63966339,1,1,0,0
64968346,1,1,0,0
65970370,1,1,0,0
66972475,1,1,0,0
67974450,1,1,0,0
68976483,1,1,0,0
69978533,1,1,0,0
70980602,1,1,0,0
71982603,1,1,0,0
72984680,1,1,0,0
73986735,1,1,0,0
74988758,1,1,0,0
75990773,1,1,0,0
76992889,1,1,0,0
77994854,1,1,0,0
78996884,1,1,0,0
79998921,1,1,0,0
81001052,1,1,0,0
82003010,1,1,0,0
83005095,1,1,0,0
84007114,1,1,0,0
85009167,1,1,0,0
86011173,1,1,0,0
87013304,1,1,0,0
88015252,1,1,0,0
89017294,1,1,0,0
90019388,1,1,0,0
91021368,1,1,0,0
92023421,1,1,0,0
93025483,1,1,0,0
94027485,1,1,0,0
95029623,1,1,0,0
96031561,1,1,0,0
97033610,1,1,0,0
98035687,1,1,0,0
99037729,1,1,0,0
100039843,1,1,0,0
101041795,1,1,0,0
102043852,1,1,0,0
103045866,1,1,0,0
104047893,1,1,0,0
105049923,1,1,0,0
106051969,1,1,0,0
107054013,1,1,0,0
108056079,1,1,0,0
109058144,1,1,0,0
110060125,1,1,0,0
111062167,1,1,0,0
112064212,1,1,0,0
113066249,1,1,0,0
118076487,1,1,0,0
119078526,1,1,0,0
120080551,1,1,0,0
