timestamp,flag_armed,flag_external_manual_override_ok,flag_sysid_maneuver_active,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
31084959,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31595664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32101681,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32607691,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33113692,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33619665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34125665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34631666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35137708,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35643667,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36149666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36655684,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37161666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37667812,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38173665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38679664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39185665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39691756,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40198185,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40703678,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41209852,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41715664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42221692,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42727705,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43233664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43739663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44245675,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44751664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45257664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45763664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46269664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46775702,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47281688,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47787713,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48293663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48799687,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49305666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49811665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50317669,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50405689,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50911692,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52935666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53441713,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53948003,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54453664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54959665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55465664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55971663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56280101,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56785664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57291663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57797688,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58303664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58809711,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59315666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59821660,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60327713,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60833664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61339664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61845666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62351702,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62857664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63363680,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63869735,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64375705,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64881677,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65387705,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65893665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66399664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66906030,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67411665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67917717,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68423680,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68929664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69435664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69941738,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70447707,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70953666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71459677,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71965665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72471675,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72977689,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73483699,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73989680,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74495678,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75001664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75507713,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76013664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76519664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77025727,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77531675,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78037714,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78543664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79049667,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79555684,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80061759,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80567965,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81073664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81579677,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82085664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82591663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83097700,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83603664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84109666,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84615664,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85121677,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85627707,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86133663,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86639665,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87145689,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
