timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
31411639,1618748925399857,633192245,102728882,3341,43513,0.186,2.667582,0.46600002,0.739,0.57,0.81,107,8,0.020000001,0.015000001,-0.013,-0.040000003,0.0,0,nan,0.0,3,1,19
31619640,1618748925599857,633192245,102728882,3326,43499,0.18100001,2.6675837,0.46600002,0.73800004,0.57,0.81,107,8,0.023000002,-0.023000002,-0.001,0.031000001,0.0,0,nan,0.0,3,1,19
31820027,1618748925799857,633192245,102728883,3307,43479,0.18300001,2.6675858,0.46500003,0.73700005,0.57,0.81,107,8,0.031000001,0.018000001,0.025,-0.044000003,0.0,0,nan,0.0,3,1,19
32021641,1618748925999857,633192245,102728884,3286,43458,0.185,2.6675878,0.46400002,0.735,0.57,0.81,107,8,0.080000006,0.067,0.045,-0.120000005,0.0,0,nan,0.0,3,1,19
32220933,1618748926199856,633192246,102728889,3305,43477,0.202,0.49328816,0.46400002,0.735,0.57,0.81,107,8,0.23300001,0.14400001,0.18300001,-0.42000002,0.873827,0,nan,0.0,3,1,19
32421638,1618748926399856,633192250,102728899,3366,43539,0.20500001,0.29442725,0.46400002,0.735,0.57,0.81,107,8,0.40800002,0.20300001,0.354,-0.565,1.0041553,0,nan,0.0,3,1,19
32618641,1618748926599856,633192254,102728914,3452,43624,0.19800001,0.27250943,0.46400002,0.73600006,0.57,0.81,107,8,0.47200003,0.18900001,0.432,-0.47300002,1.0869932,0,nan,0.0,3,1,19
32829635,1618748926799856,633192257,102728935,3537,43709,0.18300001,0.1906423,0.46400002,0.735,0.57,0.81,107,8,0.61700004,0.148,0.59900004,-0.507,1.2495682,0,nan,0.0,3,1,19
33019635,1618748926999857,633192261,102728963,3665,43837,0.17500001,0.12728703,0.46300003,0.734,0.57,0.81,107,8,0.78200006,0.19900002,0.757,-0.744,1.2943307,0,nan,0.0,3,1,19
33218636,1618748927199856,633192264,102728996,3805,43977,0.19000001,0.11852234,0.46300003,0.734,0.57,0.81,107,8,0.97,0.26000002,0.934,-1.136,1.2971253,0,nan,0.0,3,1,19
33416683,1618748927399855,633192267,102729032,3982,44155,0.185,0.14385772,0.46300003,0.734,0.57,0.81,107,8,0.90500003,0.026,0.90500003,-0.90300006,1.3964056,0,nan,0.0,3,1,19
33617635,1618748927599855,633192267,102729072,4132,44305,0.17,0.0972192,0.462,0.73300004,0.57,0.81,107,8,1.097,0.075,1.095,-1.013,1.4690629,0,nan,0.0,3,1,19
33817641,1618748927799855,633192270,102729119,4291,44463,0.16800001,0.09697589,0.46100003,0.73200005,0.57,0.81,107,8,1.2340001,0.16100001,1.2240001,-0.88900006,1.4544629,0,nan,0.0,3,1,19
34011639,1618748927999856,633192272,102729168,4476,44648,0.18,0.100801654,0.46100003,0.73200005,0.57,0.81,107,8,1.261,0.017,1.261,-1.09,1.5041165,0,nan,0.0,3,1,19
34218636,1618748928199855,633192272,102729223,4739,44911,0.17400001,0.08032965,0.46,0.73200005,0.57,0.81,107,13,1.442,-0.149,1.434,-1.3800001,1.6085984,0,nan,0.0,3,1,19
34416638,1618748928399855,633192269,102729282,5045,45217,0.178,0.076576665,0.46,0.73,0.57,0.81,107,13,1.498,-0.24900001,1.4770001,-1.7530001,1.6770014,0,nan,0.0,3,1,19
34617636,1618748928599855,633192263,102729344,5350,45522,0.18200001,0.07172186,0.45900002,0.72900003,0.57,0.81,107,13,1.6500001,-0.314,1.6200001,-1.932,1.7229823,0,nan,0.0,3,1,19
34817636,1618748928799854,633192257,102729409,5752,45925,0.18400002,0.06914872,0.45800003,0.72800004,0.57,0.81,107,13,1.6450001,-0.40500003,1.5940001,-2.173,1.7737479,0,nan,0.0,3,1,19
35014637,1618748928999855,633192250,102729472,6187,46359,0.19000001,0.07332337,0.45700002,0.72700006,0.57,0.81,107,13,1.572,-0.42700002,1.5130001,-2.3630002,1.8084105,0,nan,0.0,3,1,19
35217636,1618748929199854,633192241,102729535,6657,46829,0.187,0.069784895,0.45700002,0.726,0.57,0.81,107,13,1.7110001,-0.56100005,1.6170001,-2.46,1.8596903,0,nan,0.0,3,1,19
35418635,1618748929399854,633192231,102729600,7150,47322,0.2,0.07632883,0.45600003,0.726,0.57,0.81,107,13,1.7540001,-0.578,1.6560001,-2.7050002,1.8815541,0,nan,0.0,3,1,19
35618245,1618748929599854,633192221,102729670,7706,47878,0.19100001,0.05900766,0.45600003,0.726,0.57,0.81,107,13,1.9110001,-0.559,1.8270001,-3.0560002,1.8727939,0,nan,0.0,3,1,19
35820635,1618748929799854,633192213,102729745,8369,48541,0.186,0.056630522,0.455,0.72400004,0.57,0.81,107,13,1.9490001,-0.48200002,1.8880001,-3.367,1.844921,0,nan,0.0,3,1,19
36021640,1618748929999854,633192202,102729819,9005,49177,0.19100001,0.056684975,0.45400003,0.72400004,0.57,0.81,107,13,1.9670001,-0.688,1.843,-3.4090002,1.8879368,0,nan,0.0,3,1,19
36221654,1618748930199853,633192190,102729894,9623,49795,0.2,0.06270776,0.45400003,0.72300005,0.57,0.81,107,13,2.023,-0.624,1.9250001,-3.282,1.8863277,0,nan,0.0,3,1,19
36419875,1618748930399853,633192181,102729969,10280,50452,0.20500001,0.061100658,0.45400003,0.72300005,0.57,0.81,107,13,1.9100001,-0.47800002,1.8490001,-3.344,1.8535504,0,nan,0.0,3,1,19
36612636,1618748930599853,633192174,102730046,10951,51123,0.22200002,0.06602475,0.453,0.72300005,0.57,0.81,107,13,2.0300002,-0.38900003,1.9920001,-3.489,1.8108268,0,nan,0.0,3,1,19
36819636,1618748930799853,633192170,102730125,11657,51829,0.22200002,0.06883683,0.453,0.72400004,0.57,0.81,107,13,1.9240001,-0.08400001,1.922,-3.683,1.7143376,0,nan,0.0,3,1,19
