timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
30431695,inf,0,1,1,1,0
31438751,inf,0,1,1,1,0
31731912,inf,0,1,0,0,0
31800464,inf,0,0,0,0,0
32802489,inf,0,0,0,0,0
33809339,inf,0,0,0,0,0
34816278,inf,0,0,0,0,0
35818602,inf,0,0,0,0,0
36825546,inf,0,0,0,0,0
37832140,inf,0,0,0,0,0
38839403,inf,0,0,0,0,0
39841400,inf,0,0,0,0,0
40848052,inf,0,0,0,0,0
41850155,inf,0,0,0,0,0
42852158,inf,0,0,0,0,0
43859119,inf,0,0,0,0,0
44861138,inf,0,0,0,0,0
45868045,inf,0,0,0,0,0
46870108,inf,0,0,0,0,0
47872091,inf,0,0,0,0,0
48874151,inf,0,0,0,0,0
49881363,inf,0,0,0,0,0
50883310,inf,0,0,0,0,0
52892452,inf,0,0,0,0,0
53899300,inf,0,0,0,0,0
54901338,inf,0,0,0,0,0
55903338,inf,0,0,0,0,0
56910007,inf,0,0,0,0,0
57912426,inf,0,0,0,0,0
58914062,inf,0,0,0,0,0
59921289,inf,0,0,0,0,0
60923353,inf,0,0,0,0,0
61929976,inf,0,0,0,0,0
62932013,inf,0,0,0,0,0
63939254,inf,0,0,0,0,0
64941302,inf,0,0,0,0,0
65943320,inf,0,0,0,0,0
66950001,inf,0,0,0,0,0
67951980,inf,0,0,0,0,0
68959198,inf,0,0,0,0,0
69961274,inf,0,0,0,0,0
70963293,inf,0,0,0,0,0
71969941,inf,0,0,0,0,0
72972011,inf,0,0,0,0,0
73973990,inf,0,0,0,0,0
74980914,inf,0,0,0,0,0
75983252,inf,0,0,0,0,0
76989951,inf,0,0,0,0,0
77992296,inf,0,0,0,0,0
78994074,inf,0,0,0,0,0
80001248,inf,0,0,0,0,0
81003024,inf,0,0,0,0,0
82009921,inf,0,0,0,0,0
83011915,inf,0,0,0,0,0
84018926,inf,0,0,0,0,0
85020964,inf,0,0,0,0,0
86032801,inf,0,0,0,0,0
87034802,inf,0,0,0,0,0
88041706,inf,0,0,0,0,0
89048581,inf,0,0,0,0,0
90050606,inf,0,0,0,0,0
91052744,inf,0,0,0,0,0
92054727,inf,0,0,0,0,0
93061903,inf,0,0,0,0,0
94068539,inf,0,0,0,0,0
95070616,inf,0,0,0,0,0
96072647,inf,0,0,0,0,0
97080070,inf,0,0,0,0,0
98082102,inf,0,0,0,0,0
99088555,inf,0,0,0,0,0
100090581,inf,0,0,0,0,0
101092662,inf,0,0,0,0,0
102104730,inf,0,0,0,0,0
103111375,inf,0,0,0,0,0
104113408,inf,0,0,0,0,0
105120654,inf,0,0,0,0,0
106132205,inf,0,0,0,0,0
107139158,inf,0,0,0,0,0
108141178,inf,0,0,0,0,0
109148043,inf,0,0,0,0,0
110155015,inf,0,0,0,0,0
111161971,inf,0,0,0,0,0
112163978,inf,0,0,0,0,0
113166123,inf,0,0,0,0,0
118190856,inf,0,0,0,0,0
119192949,inf,0,0,0,0,0
120200206,inf,0,0,0,0,0
121202114,inf,0,0,0,0,0
122208775,inf,0,0,0,0,0
123215797,inf,0,0,0,0,0
124222698,inf,0,0,0,0,0
125224996,inf,0,0,0,0,0
126231627,inf,0,0,0,0,0
127238826,inf,0,0,0,0,0
128240908,inf,0,0,0,0,0
129252426,inf,0,0,0,0,0
130264535,inf,0,0,0,0,0
131271147,inf,0,0,0,0,0
132273169,inf,0,0,0,0,0
133280467,inf,0,0,0,0,0
134282617,inf,0,0,0,0,0
135289068,inf,0,0,0,0,0
136296037,inf,0,0,0,0,0
137298360,inf,0,0,0,0,0
138305339,inf,0,0,0,0,0
139311919,inf,0,0,0,0,0
140324053,inf,0,0,0,0,0
141330634,inf,0,0,0,0,0
142332777,inf,0,0,0,0,0
143334712,inf,0,0,0,0,0
144341958,inf,0,0,0,0,0
145348593,inf,0,0,0,0,0
146350630,inf,0,0,0,0,0
147352668,inf,0,0,0,0,0
148354741,inf,0,0,0,0,0
149361709,inf,0,0,0,0,0
150363729,inf,0,0,0,0,0
151370572,inf,0,0,0,0,0
152372662,inf,0,0,0,0,0
153384801,inf,0,0,0,0,0
154391717,inf,0,0,0,0,0
155393447,inf,0,0,0,0,0
156400714,inf,0,0,0,0,0
157402727,inf,0,0,0,0,0
158404743,inf,0,0,0,0,0
159411407,inf,0,0,0,0,0
162422746,inf,0,0,0,0,0
163429311,inf,0,0,0,0,0
164431318,inf,0,0,0,0,0
165438547,inf,0,0,0,0,0
166445562,inf,0,0,0,0,0
167452113,inf,0,0,0,0,0
168454148,inf,0,0,0,0,0
169461374,inf,0,0,0,0,0
170463457,inf,0,0,0,0,0
171470064,inf,0,0,0,0,0
172472245,inf,0,0,0,0,0
173474131,inf,0,0,0,0,0
174481489,inf,0,0,0,0,0
175483514,inf,0,0,0,0,0
176490090,inf,0,0,0,0,0
177492084,inf,0,0,0,0,0
178499354,inf,0,0,0,0,0
179501341,inf,0,0,0,0,0
181510023,inf,0,0,0,0,0
182512054,inf,0,0,0,0,0
183514129,inf,0,0,0,0,0
184521035,inf,0,0,0,0,0
185527982,inf,0,0,0,0,0
186529989,inf,0,0,0,0,0
187532045,inf,0,0,0,0,0
188539283,inf,0,0,0,0,0
189541270,inf,0,0,0,0,0
190543371,inf,0,0,0,0,0
191545521,inf,0,0,0,0,0
192552000,inf,0,0,0,0,0
193554063,inf,0,0,0,0,0
194561297,inf,0,0,0,0,0
195563286,inf,0,0,0,0,0
196569972,inf,0,0,0,0,0
197572031,inf,0,0,0,0,0
198578952,inf,0,0,0,0,0
199580957,inf,0,0,0,0,0
200583271,inf,0,0,0,0,0
201589930,inf,0,0,0,0,0
202591969,inf,0,0,0,0,0
203594015,inf,0,0,0,0,0
204596311,inf,0,0,0,0,0
205603266,inf,0,0,0,0,0
206609902,inf,0,0,0,0,0
207611959,inf,0,0,0,0,0
208619148,inf,0,0,0,0,0
209621195,inf,0,0,0,0,0
210632766,inf,0,0,0,0,0
211634747,inf,0,0,0,0,0
212641982,inf,0,0,0,0,0
213644029,inf,0,0,0,0,0
214650617,inf,0,0,0,0,0
215662834,inf,0,0,0,0,0
216664762,inf,0,0,0,0,0
217671406,inf,0,0,0,0,0
218678781,inf,0,0,0,0,0
219680739,inf,0,0,0,0,0
220682950,inf,0,0,0,0,0
221689384,inf,0,0,0,0,0
222691755,inf,0,0,0,0,0
227711458,inf,0,0,0,0,0
228713432,inf,0,0,0,0,0
229720493,inf,0,0,0,0,0
230722475,inf,0,0,0,0,0
231724525,inf,0,0,0,0,0
232731337,inf,0,0,0,0,0
233733408,inf,0,0,0,0,0
234740689,inf,0,0,0,0,0
235742753,inf,0,0,0,0,0
236744688,inf,0,0,0,0,0
237756213,inf,0,0,0,0,0
238758568,inf,0,0,0,0,0
239765301,inf,0,0,0,0,0
240772125,inf,0,0,0,0,0
241774145,inf,0,0,0,0,0
242781413,inf,0,0,0,0,0
243788005,inf,0,0,0,0,0
244790104,inf,0,0,0,0,0
245792089,inf,0,0,0,0,0
246799316,inf,0,0,0,0,0
247805969,inf,0,0,0,0,0
248812898,inf,0,0,0,0,0
249814946,inf,0,0,0,0,0
250822106,inf,0,0,0,0,0
251828803,inf,0,0,0,0,0
252830786,inf,0,0,0,0,0
253838050,inf,0,0,0,0,0
254840217,inf,0,0,0,0,0
255842111,inf,0,0,0,0,0
256844128,inf,0,0,0,0,0
257850756,inf,0,0,0,0,0
258858045,inf,0,0,0,0,0
259860066,inf,0,0,0,0,0
260862060,inf,0,0,0,0,0
261864138,inf,0,0,0,0,0
262870758,inf,0,0,0,0,0
263872830,inf,0,0,0,0,0
264879999,inf,0,0,0,0,0
265882075,inf,0,0,0,0,0
266884260,inf,0,0,0,0,0
267886355,inf,0,0,0,0,0
268887892,inf,0,0,0,0,0
269889952,inf,0,0,0,0,0
270891976,inf,0,0,0,0,0
271899229,inf,0,0,0,0,0
272900950,inf,0,0,0,0,0
273907860,inf,0,0,0,0,0
274909951,inf,0,0,0,0,0
275911983,inf,0,0,0,0,0
276914003,inf,0,0,0,0,0
277921271,inf,0,0,0,0,0
278923292,inf,0,0,0,0,0
279929940,inf,0,0,0,0,0
280931917,inf,0,0,0,0,0
281944023,inf,0,0,0,0,0
282950675,inf,0,0,0,0,0
283952733,inf,0,0,0,0,0
284954737,inf,0,0,0,0,0
285961991,inf,0,0,0,0,0
286968606,inf,0,0,0,0,0
287970608,inf,0,0,0,0,0
289979953,inf,0,0,0,0,0
290981919,inf,0,0,0,0,0
291983996,inf,0,0,0,0,0
292990607,inf,0,0,0,0,0
293992657,inf,0,0,0,0,0
294994698,inf,0,0,0,0,0
297003929,inf,0,0,0,0,0
298010576,inf,0,0,0,0,0
299012750,inf,0,0,0,0,0
300024807,inf,0,0,0,0,0
301031650,inf,0,0,0,0,0
302033449,inf,0,0,0,0,0
303040448,inf,0,0,0,0,0
304042484,inf,0,0,0,0,0
305044755,inf,0,0,0,0,0
306051398,inf,0,0,0,0,0
307053419,inf,0,0,0,0,0
308060645,inf,0,0,0,0,0
309062702,inf,0,0,0,0,0
310069321,inf,0,0,0,0,0
311071325,inf,0,0,0,0,0
312078703,inf,0,0,0,0,0
313085681,inf,0,0,0,0,0
314092119,inf,0,0,0,0,0
315094159,inf,0,0,0,0,0
316101447,inf,0,0,0,0,0
317103421,inf,0,0,0,0,0
318110095,inf,0,0,0,0,0
319112135,inf,0,0,0,0,0
320119337,inf,0,0,0,0,0
321126287,inf,0,0,0,0,0
322132904,inf,0,0,0,0,0
323134939,inf,0,0,0,0,0
324142133,inf,0,0,0,0,0
325144140,inf,0,0,0,0,0
326150801,inf,0,0,0,0,0
327152936,inf,0,0,0,0,0
328160121,inf,0,0,0,0,0
329161858,inf,0,0,0,0,0
330163900,inf,0,0,0,0,0
331170797,inf,0,0,0,0,0
332172864,inf,0,0,0,0,0
337192827,inf,0,0,0,0,0
338200044,inf,0,0,0,0,0
339202027,inf,0,0,0,0,0
340208698,inf,0,0,0,0,0
341210716,inf,0,0,0,0,0
342212843,inf,0,0,0,0,0
343220035,inf,0,0,0,0,0
344222089,inf,0,0,0,0,0
345228703,inf,0,0,0,0,0
346230729,inf,0,0,0,0,0
347232781,inf,0,0,0,0,0
348234810,inf,0,0,0,0,0
349241981,inf,0,0,0,0,0
350244030,inf,0,0,0,0,0
351250691,inf,0,0,0,0,0
352252758,inf,0,0,0,0,0
353260014,inf,0,0,0,0,0
354262046,inf,0,0,0,0,0
355268598,inf,0,0,0,0,0
356270634,inf,0,0,0,0,0
357272727,inf,0,0,0,0,0
358274809,inf,0,0,0,0,0
359281944,inf,0,0,0,0,0
360293487,inf,0,0,0,0,0
361300773,inf,0,0,0,0,0
362302806,inf,0,0,0,0,0
363309434,inf,0,0,0,0,0
364311403,inf,0,0,0,0,0
365313466,inf,0,0,0,0,0
366315633,inf,0,0,0,0,0
367322754,inf,0,0,0,0,0
368329378,inf,0,0,0,0,0
369331391,inf,0,0,0,0,0
370343508,inf,0,0,0,0,0
371350152,inf,0,0,0,0,0
372352183,inf,0,0,0,0,0
373354256,inf,0,0,0,0,0
374356363,inf,0,0,0,0,0
375363229,inf,0,0,0,0,0
376370151,inf,0,0,0,0,0
377372159,inf,0,0,0,0,0
378374200,inf,0,0,0,0,0
379381405,inf,0,0,0,0,0
380383451,inf,0,0,0,0,0
381390154,inf,0,0,0,0,0
382392140,inf,0,0,0,0,0
383399422,inf,0,0,0,0,0
384406346,inf,0,0,0,0,0
385408087,inf,0,0,0,0,0
386414998,inf,0,0,0,0,0
387422205,inf,0,0,0,0,0
388428870,inf,0,0,0,0,0
389430875,inf,0,0,0,0,0
390438109,inf,0,0,0,0,0
391445026,inf,0,0,0,0,0
395463008,inf,0,0,0,0,0
396469563,inf,0,0,0,0,0
397471908,inf,0,0,0,0,0
398473690,inf,0,0,0,0,0
399481049,inf,0,0,0,0,0
400483098,inf,0,0,0,0,0
401494594,inf,0,0,0,0,0
402501722,inf,0,0,0,0,0
403503815,inf,0,0,0,0,0
404510395,inf,0,0,0,0,0
405512408,inf,0,0,0,0,0
406514422,inf,0,0,0,0,0
407521435,inf,0,0,0,0,0
408523427,inf,0,0,0,0,0
409535224,inf,0,0,0,0,0
410542479,inf,0,0,0,0,0
411549062,inf,0,0,0,0,0
412555977,inf,0,0,0,0,0
413563244,inf,0,0,0,0,0
414569856,inf,0,0,0,0,0
415571908,inf,0,0,0,0,0
416579123,inf,0,0,0,0,0
417581172,inf,0,0,0,0,0
418583191,inf,0,0,0,0,0
419585324,inf,0,0,0,0,0
420591864,inf,0,0,0,0,0
421599078,inf,0,0,0,0,0
422601135,inf,0,0,0,0,0
423603191,inf,0,0,0,0,0
424609868,inf,0,0,0,0,0
425611837,inf,0,0,0,0,0
426619061,inf,0,0,0,0,0
427621136,inf,0,0,0,0,0
428623181,inf,0,0,0,0,0
429629839,inf,0,0,0,0,0
430631829,inf,0,0,0,0,0
431633852,inf,0,0,0,0,0
432641098,inf,0,0,0,0,0
433643152,inf,0,0,0,0,0
434649714,inf,0,0,0,0,0
435651870,inf,0,0,0,0,0
436659029,inf,0,0,0,0,0
437660817,inf,0,0,0,0,0
438672625,inf,0,0,0,0,0
439679832,inf,0,0,0,0,0
440681966,inf,0,0,0,0,0
441688435,inf,0,0,0,0,0
442690558,inf,0,0,0,0,0
446713361,inf,0,0,0,0,0
447720597,inf,0,0,0,0,0
448722338,inf,0,0,0,0,0
449729208,inf,0,0,0,0,0
450731353,inf,0,0,0,0,0
451733335,inf,0,0,0,0,0
452740328,inf,0,0,0,0,0
453742366,inf,0,0,0,0,0
454749210,inf,0,0,0,0,0
455751225,inf,0,0,0,0,0
456753350,inf,0,0,0,0,0
457755351,inf,0,0,0,0,0
458762572,inf,0,0,0,0,0
459764548,inf,0,0,0,0,0
460771195,inf,0,0,0,0,0
461778440,inf,0,0,0,0,0
462780541,inf,0,0,0,0,0
463782547,inf,0,0,0,0,0
464794065,inf,0,0,0,0,0
465801251,inf,0,0,0,0,0
466803343,inf,0,0,0,0,0
467809952,inf,0,0,0,0,0
468811994,inf,0,0,0,0,0
469819221,inf,0,0,0,0,0
470820945,inf,0,0,0,0,0
471827936,inf,0,0,0,0,0
472829922,inf,0,0,0,0,0
473831952,inf,0,0,0,0,0
474833993,inf,0,0,0,0,0
475841210,inf,0,0,0,0,0
476843298,inf,0,0,0,0,0
477849905,inf,0,0,0,0,0
478851957,inf,0,0,0,0,0
479858943,inf,0,0,0,0,0
480860964,inf,0,0,0,0,0
481872930,inf,0,0,0,0,0
482874807,inf,0,0,0,0,0
483882190,inf,0,0,0,0,0
484888589,inf,0,0,0,0,0
485890636,inf,0,0,0,0,0
486892724,inf,0,0,0,0,0
487899962,inf,0,0,0,0,0
488901961,inf,0,0,0,0,0
489904012,inf,0,0,0,0,0
490910600,inf,0,0,0,0,0
491922778,inf,0,0,0,0,0
492924815,inf,0,0,0,0,0
493931376,inf,0,0,0,0,0
494933478,inf,0,0,0,0,0
497949330,inf,0,0,0,0,0
498951647,inf,0,0,0,0,0
499958689,inf,0,0,0,0,0
500960693,inf,0,0,0,0,0
501962756,inf,0,0,0,0,0
502964834,inf,0,0,0,0,0
503971367,inf,0,0,0,0,0
504973427,inf,0,0,0,0,0
505980672,inf,0,0,0,0,0
506982696,inf,0,0,0,0,0
507989268,inf,0,0,0,0,0
508991316,inf,0,0,0,0,0
509998542,inf,0,0,0,0,0
511005522,inf,0,0,0,0,0
512012115,inf,0,0,0,0,0
513014161,inf,0,0,0,0,0
514021379,inf,0,0,0,0,0
515028017,inf,0,0,0,0,0
516030108,inf,0,0,0,0,0
517032106,inf,0,0,0,0,0
518044196,inf,0,0,0,0,0
519050857,inf,0,0,0,0,0
520052901,inf,0,0,0,0,0
521060135,inf,0,0,0,0,0
522062114,inf,0,0,0,0,0
523068774,inf,0,0,0,0,0
524070827,inf,0,0,0,0,0
525072888,inf,0,0,0,0,0
526079971,inf,0,0,0,0,0
527081869,inf,0,0,0,0,0
528083905,inf,0,0,0,0,0
529086152,inf,0,0,0,0,0
530087946,inf,0,0,0,0,0
531090022,inf,0,0,0,0,0
532092211,inf,0,0,0,0,0
533094211,inf,0,0,0,0,0
534106228,inf,0,0,0,0,0
535107932,inf,0,0,0,0,0
536114906,inf,0,0,0,0,0
537122111,inf,0,0,0,0,0
538128697,inf,0,0,0,0,0
539130727,inf,0,0,0,0,0
540138018,inf,0,0,0,0,0
541144908,inf,0,0,0,0,0
542151496,inf,0,0,0,0,0
543158739,inf,0,0,0,0,0
544165749,inf,0,0,0,0,0
545172355,inf,0,0,0,0,0
546179601,inf,0,0,0,0,0
550192346,inf,0,0,0,0,0
551199539,inf,0,0,0,0,0
552201540,inf,0,0,0,0,0
553208192,inf,0,0,0,0,0
554210276,inf,0,0,0,0,0
555212294,inf,0,0,0,0,0
556214383,inf,0,0,0,0,0
557221530,inf,0,0,0,0,0
558228131,inf,0,0,0,0,0
559235134,inf,0,0,0,0,0
560242116,inf,0,0,0,0,0
561244089,inf,0,0,0,0,0
562250956,inf,0,0,0,0,0
563258225,inf,0,0,0,0,0
564265272,inf,0,0,0,0,0
565271767,inf,0,0,0,0,0
566273795,inf,0,0,0,0,0
567281018,inf,0,0,0,0,0
