timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
31084960,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31595665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32101682,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32607692,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33113693,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33619666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34125666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34631667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35137710,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35643668,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36149667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36655686,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37161668,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37667813,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38173666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38679665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39185666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39691757,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40198187,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40703679,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41209853,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41715665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42221694,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42727706,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43233665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43739665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44245676,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44751666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45257665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45763665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46269666,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46775703,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47281690,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47787714,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48293665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48799689,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49305667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49811667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50317671,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50405691,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
50911694,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
52935667,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
53441714,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
53948004,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
54453665,1182898,305070143,304152607,305070143,15,2,0,0,22,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
