timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
31110835,1,0,0,0,0
31313660,1,0,0,0,0
31511620,1,0,0,0,0
31712063,1,0,0,0,0
31912439,1,0,0,0,0
32110402,1,0,0,0,0
32310815,1,0,0,0,0
32513663,1,0,0,0,0
32714068,1,0,0,0,0
32912041,1,0,0,0,0
33112443,1,0,0,0,0
33312852,1,0,0,0,0
33510814,1,0,0,0,0
33711253,1,0,0,0,0
33914074,1,0,0,0,0
34112043,1,0,0,0,0
34312479,1,0,0,0,0
34512855,1,0,0,0,0
34710827,1,0,0,0,0
34911231,1,0,0,0,0
35111642,1,0,0,0,0
35314486,1,0,0,0,0
35512460,1,0,0,0,0
35712863,1,0,0,0,0
35913277,1,0,0,0,0
36111227,1,0,0,0,0
36311667,1,0,0,0,0
36509604,1,0,0,0,0
36714910,1,0,0,0,0
36912892,1,0,0,0,0
37113269,1,0,0,0,0
37311236,1,0,0,0,0
37511644,1,0,0,0,0
37712051,1,0,0,0,0
37910014,1,0,0,0,0
38112865,1,0,0,0,0
38313279,1,0,0,0,0
38513684,1,0,0,0,0
38711648,1,0,0,0,0
38912088,1,0,0,0,0
39110020,1,0,0,0,0
39310425,1,0,0,0,0
39513311,1,0,0,0,0
39713685,1,0,0,0,0
39911654,1,0,0,0,0
40112083,1,0,0,0,0
40312466,1,0,0,0,0
40510427,1,0,0,0,0
40710837,1,0,0,0,0
40913690,1,0,0,0,0
41114099,1,0,0,0,0
41312065,1,0,0,0,0
41512471,1,0,0,0,0
41712881,1,0,0,0,0
41910844,1,0,0,0,0
42111250,1,0,0,0,0
42314098,1,0,0,0,0
42512070,1,0,0,0,0
42712474,1,0,0,0,0
42912914,1,0,0,0,0
43110844,1,0,0,0,0
43311254,1,0,0,0,0
43511666,1,0,0,0,0
43714512,1,0,0,0,0
43912480,1,0,0,0,0
44112890,1,0,0,0,0
44313298,1,0,0,0,0
44511256,1,0,0,0,0
44711668,1,0,0,0,0
44909631,1,0,0,0,0
45114926,1,0,0,0,0
45312890,1,0,0,0,0
45513300,1,0,0,0,0
45711291,1,0,0,0,0
45911667,1,0,0,0,0
46112077,1,0,0,0,0
46310041,1,0,0,0,0
46512892,1,0,0,0,0
46713304,1,0,0,0,0
46913741,1,0,0,0,0
47111674,1,0,0,0,0
47312130,1,0,0,0,0
47510044,1,0,0,0,0
