Row,Model_1,Model_2,Model_3
c_L_0,0.4511,0.4511,0.4511
c_L_alpha,3.4542,3.4542,3.4542
c_L_q,-237.753409376098,-25.997792633962,-186.374598879156
c_L_delta_e,-1.1777616572112,-1.29564989214933,-1.05773414991936
c_D_p,0.0729,0.0729,0.0729
c_D_alpha,0.3501,0.3501,0.3501
c_D_alpha_sq,0.2621,0.2621,0.2621
c_D_q,184.735237473412,265.23414078205,158.618089009697
c_D_delta_e,0.304242434145718,1.35563179163037,5.51338962829557e-06
c_m_0,0.073691572573168,0.152387684446331,0.100242366247466
c_m_alpha,-2.20504606462813,-3.29202147866409,-2.42496924305141
c_m_q,-50.4198307147528,-44.4914449219528,-60.2819520510087
c_m_delta_e,-0.870908378696269,-0.914676235116541,-1.04196310468384
c_Y_beta,-0.351976,-0.351976,-0.351976
c_Y_p,0.112085,0.112085,0.112085
c_Y_r,0.258965,0.258965,0.258965
c_Y_delta_a,-0.00057,-0.00057,-0.00057
c_Y_delta_r,0.00558,0.00558,0.00558
c_l_beta,-0.02498,-0.02498,-0.02498
c_l_p,-0.472,-0.472,-0.472
c_l_r,0.141,0.141,0.141
c_l_delta_a,0.283041150794627,0.283041150794627,0.283041150794627
c_l_delta_r,-0.00830788802939694,-0.00830788802939694,-0.00830788802939694
c_n_beta,0.11104,0.11104,0.11104
c_n_p,-0.0635,-0.0635,-0.0635
c_n_r,-0.0869,-0.0869,-0.0869
c_n_delta_a,0.0103132403123548,0.0103132403123548,0.0103132403123548
c_n_delta_r,-0.108861981074856,-0.108861981074856,-0.108861981074856
