Row,Model_1,Model_2
c_L_0,0.548777124727308,0.484469204521465
c_L_alpha,2.42188951192909,2.41798151172154
c_L_q,33.0823002012853,38.0301857602348
c_L_delta_e,-0.758251012896793,-1.08437502006453
c_D_p,0.0947699999999756,0.0947699999999737
c_D_alpha,0.455129999999976,0.455129842790402
c_D_alpha_sq,0.340729658936053,0.183470000047426
c_D_q,112.038657020168,133.416745672891
c_D_delta_e,0.58616613550064,1.28905041823256
c_m_0,0.0758099414684058,0.135863807389702
c_m_alpha,-2.87336663821319,-3.86534242913306
c_m_q,-32.4871214612796,-36.4830257672267
c_m_delta_e,-1.06063645233601,-1.2240458743437
c_Y_beta,-0.351976,-0.351976
c_Y_p,0.112085,0.112085
c_Y_r,0.258965,0.258965
c_Y_delta_a,-0.00057,-0.00057
c_Y_delta_r,0.00558,0.00558
c_l_beta,-0.02498,-0.02498
c_l_p,-0.472,-0.472
c_l_r,0.141,0.141
c_l_delta_a,0.283041150794627,0.283041150794627
c_l_delta_r,-0.00830788802939694,-0.00830788802939694
c_n_beta,0.11104,0.11104
c_n_p,-0.0635,-0.0635
c_n_r,-0.0869,-0.0869
c_n_delta_a,0.0103132403123548,0.0103132403123548
c_n_delta_r,-0.108861981074856,-0.108861981074856
