Row,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23,Model_24,Model_25,Model_26,Model_27,Model_28,Model_29,Model_30,Model_31,Model_32
c_L_0,0.013065766333745,0.0132204383264832,0.0139176002735947,0.00996957436251816,0.013112489229433,0.014195272992756,0.0125991661481851,0.0140800109830545,0.0121089586957857,0.0113448153867358,0.0125689014687659,0.0149530758695743,0.0101791135745722,0.011149109040266,0.0146907562893951,0.0136204515466634,0.0110145803274419,0.013909652138613,0.0136657148618434,0.012063956544629,0.0142823019359559,0.0116318912765876,0.0152260382034271,0.0144935845046442,0.0146179752010187,0.0115776387350004,0.0122913996475118,0.0121479388896382,0.014482699550294,0.0158748685908456,0.0129836051940153,0.010316211696336
c_L_alpha,0.214328576589474,0.214554925483263,0.211571132422739,0.186806477169621,0.200693757802653,0.195902680752768,0.181880648835428,0.201268158146322,0.204604780667654,0.188026202589315,0.202536753640471,0.226396766470976,0.175065112451705,0.185286847930897,0.217301979567619,0.193466561280584,0.194763097374517,0.223432206544881,0.184073115753367,0.17516095246175,0.194657495788269,0.200284475985619,0.219547775814241,0.195061481399228,0.213451735134348,0.19720041876015,0.197940718986156,0.19808269103724,0.215757888293599,0.224082952063006,0.193445876920962,0.182189235005901
c_L_q,1.95592194926435,1.9712751550728,1.4886884971587,1.76664391759105,1.96053256734948,1.74741460132432,1.66462953171101,1.69746246209877,1.15732209311613,1.49049149151532,1.83046525655639,1.78343535186954,1.53386318663734,1.75560434954757,1.9048847239605,1.64476074598284,2.003534300934,1.82984814247725,1.65533016975086,1.7084441500288,1.7685924060847,1.77175759705839,1.6632780020479,1.84268901094108,1.77320885044494,1.87709124850457,1.65209966624744,1.57626761205242,1.61038868392471,1.96173672521554,1.83901332893524,1.75673700036477
c_L_delta_e,0.0846969732345224,0.08219336990311,0.100430042530155,0.0769058672568517,0.0831186567702384,0.0796677420015451,0.0753971590461591,0.0907188358909459,0.10056210730693,0.0915995645720706,0.0812125488151883,0.0942665754949968,0.0680149714985983,0.0716471379515631,0.0898318526502145,0.0845530293358682,0.0807675578764152,0.0931528775110764,0.0815569450375061,0.0758339712077082,0.0838941830975259,0.0840306594631719,0.093036935691406,0.0860973462410699,0.0888268744660999,0.0747631901774918,0.0920032108808634,0.0871055735099484,0.0986928500273187,0.0865320975413367,0.0891557282802029,0.0791265911375974
c_D_p,0.0138871470452973,0.0132159555620137,0.0128070619621212,0.0114439694040645,0.0144507757438681,0.0150876679857689,0.0133429903094187,0.0159908746161841,0.0093104830624437,0.0104742330501123,0.0125169048474771,0.014767874001901,0.00749790014370435,0.0109872427603616,0.0147884183496809,0.0138685359295722,0.0114151256254755,0.0141855988644248,0.0162232491738157,0.013124854861201,0.0152325983229204,0.0124253226936944,0.015192953459909,0.0176650748862276,0.0136249743392811,0.0133002850587597,0.0120151864331226,0.0122531374582632,0.0155718021623943,0.01736238683152,0.0138444487863984,0.00867063778910381
c_D_alpha,0.262726496664493,0.240020751260527,0.226787453990922,0.251442964469922,0.254998009283927,0.240472258609984,0.217404650028349,0.263730830453913,0.191585900962943,0.209189309757991,0.234867535619718,0.251907872759223,0.143525196036014,0.208308225646185,0.251689365757372,0.228732437815187,0.233263831052501,0.259179862046222,0.250078188160644,0.212985532765868,0.241421813186817,0.246233957258579,0.255053669583156,0.269297652207414,0.228035281877976,0.260128098616915,0.221235727915218,0.231300297965581,0.270162062971668,0.279141279269779,0.234853211256401,0.171436886014121
c_D_alpha_sq,0.40546425005132,0.35384859708162,0.35205752623915,0.40802574775824,0.36312639792927,0.386027624480654,0.304252986935392,0.383104820018978,0.402897142596634,0.373555466556548,0.34390561549312,0.364545927495377,0.202556053523498,0.306390973996741,0.376408003386276,0.345439318909275,0.322694310278606,0.374549268061619,0.389965645885946,0.271910577595875,0.370497400653806,0.383743036859284,0.446514762118926,0.376319831224397,0.318979784252851,0.396720892053723,0.326330990190105,0.359889044534331,0.422235659999028,0.399024984857462,0.334977821438651,0.219654470959515
c_D_q,2.21823311299366,2.1159645080663,2.00413087137501,2.14142765775227,2.33877181766515,2.08942831023458,2.09254269463199,2.1767339958444,1.82400606980871,1.92693571244737,2.01859277764422,2.08229283451402,1.60061053718974,1.91685002169503,2.1485163578907,2.17393370199949,2.23233738487602,2.16588116951974,2.14845627105537,2.00880527867171,2.15702773253501,2.06539410645702,2.00844443377964,2.24536275142952,1.95839893791087,2.05298080619204,2.08496324445625,2.07390580845698,2.17458435944942,2.13565161038082,2.2630528827137,1.90784546026646
c_D_delta_e,0.0789501522496757,0.0721520606670204,0.0769198838708183,0.0776706492366279,0.0807582105629084,0.0684620337706388,0.0708158478902998,0.0854535282222483,0.067939124037232,0.0707330440994285,0.072021751692063,0.0784126356883231,0.0486008351949309,0.0637100504191566,0.073968497554671,0.0733748080919913,0.0765789701648896,0.0828086803506909,0.0777715031241773,0.0713787624055639,0.0732761689329006,0.0753499373960408,0.0757996485509456,0.0851613424894394,0.0717063477413776,0.0753094654845091,0.0754957658694562,0.0754118536051188,0.0865383876663798,0.0813900147497789,0.0797038758861769,0.0629873969967645
c_m_0,0.00319693978410438,0.00300475461471995,0.00372914420486896,0.00269505238475609,0.00317525745439142,0.00349374112207288,0.0028331454120032,0.00377232275047184,0.00348407111394872,0.00331398358193569,0.00325145506304907,0.00369061660392881,0.00200618797031384,0.00268662937289127,0.00362133441208734,0.00345787067894368,0.00272598790181238,0.00335053909406327,0.00354004571192479,0.00276684679747185,0.0037554785999427,0.00324483135556087,0.00373856859991093,0.00347573827729252,0.00343740696219992,0.00310826112395836,0.00314725634950896,0.00301769210199562,0.00399974224532355,0.00363062516601089,0.0032699446544854,0.00233952697661656
