Row,Model_1
c_L_0,0.228691482247786
c_L_alpha,6.55710847137796
c_L_q,1.71587832573947
c_L_delta_e,1.14302143535145
c_D_p,0.0789719860317876
c_D_alpha,0.433698141581456
c_D_alpha_sq,4.23713683904202
c_D_q,18.2147418175832
c_D_delta_e,0.7229363372702
c_m_0,-7.10293508146622e-68
c_m_alpha,-0.0107260576516864
c_m_q,-0.13084898198805
c_m_delta_e,-0.0131240274488225
c_Y_beta,-0.351976
c_Y_p,0.112085
c_Y_r,0.258965
c_Y_delta_a,-0.00057
c_Y_delta_r,0.00558
c_l_beta,-0.02498
c_l_p,-0.472
c_l_r,0.141
c_l_delta_a,0.283041150794627
c_l_delta_r,-0.00830788802939694
c_n_beta,0.11104
c_n_p,-0.0635
c_n_r,-0.0869
c_n_delta_a,0.0103132403123548
c_n_delta_r,-0.108861981074856
