Row,Model_1,Model_2
c_T_0_pusher,0.0861,0.0861
c_T_top,0,0
c_Q_top,0,0
c_T_J_pusher,0.448554342061538,0.141782414856577
c_L_0,0.354767846857834,0.478806605346859
c_L_alpha,4.49045999971189,4.45614454990932
c_L_q,-1.85422837439791,-0.863770386291947
c_L_delta_e,0.027336939526565,-0.778086353026834
c_D_p,0.0946753856868253,0.0947612546143166
c_D_alpha,0.245070228003017,0.246348674996533
c_D_alpha_sq,0.183475942742401,0.183726803929399
c_D_q,19.689439475896,16.9405082884582
c_D_delta_e,0.2343743322041,0.31575325622848
c_m_0,0.0726175156713334,0.107680774374412
c_m_alpha,-1.70382261361328,-2.83034404607345
c_m_q,-29.4037026824312,-21.4309547580425
c_m_delta_e,-0.791345551599206,-0.891203153674011
c_Y_beta,-0.351976,-0.351976
c_Y_p,0.112085,0.112085
c_Y_r,0.258965,0.258965
c_Y_delta_a,-0.00057,-0.00057
c_Y_delta_r,0.00558,0.00558
c_l_beta,-0.02498,-0.02498
c_l_p,-0.472,-0.472
c_l_r,0.141,0.141
c_l_delta_a,0.283041150794627,0.283041150794627
c_l_delta_r,-0.00830788802939694,-0.00830788802939694
c_n_beta,0.11104,0.11104
c_n_p,-0.0635,-0.0635
c_n_r,-0.0869,-0.0869
c_n_delta_a,0.0103132403123548,0.0103132403123548
