Row,Model_1
c_T_0_pusher,0.0861
c_T_top,0
c_Q_top,0
c_T_J_pusher,1.09097054913802
c_L_0,0.459454009125099
c_L_alpha,4.49045999333372
c_L_q,8.49539256685375
c_L_delta_e,-0.611688903554155
c_D_p,0.0640648690169137
c_D_alpha,0.245093992828518
c_D_alpha_sq,0.18347926499582
c_D_q,38.5867719095149
c_D_delta_e,0.902524099585552
c_m_0,0.0609133125899825
c_m_alpha,-2.47519260006426
c_m_q,-20.4186576593978
c_m_delta_e,-0.958964321228308
c_Y_beta,-0.351976
c_Y_p,0.112085
c_Y_r,0.258965
c_Y_delta_a,-0.00057
c_Y_delta_r,0.00558
c_l_beta,-0.02498
c_l_p,-0.472
c_l_r,0.141
c_l_delta_a,0.283041150794627
c_l_delta_r,-0.00830788802939694
c_n_beta,0.11104
c_n_p,-0.0635
c_n_r,-0.0869
c_n_delta_a,0.0103132403123548
