Row,Model_1,Model_2
c_T_0_pusher,0,0
c_T_top,0,0
c_Q_top,0,0
c_T_J_pusher,0,0
c_L_0,0,0
c_L_alpha,0,0
c_L_q,0,0
c_L_delta_e,0,0
c_D_p,0,0
c_D_alpha,0,0
c_D_alpha_sq,0.10866549766556,0.340479499142009
c_D_q,0.00844794656648865,0.00799529203803849
c_D_delta_e,0.164732532780065,0.163553321927762
c_m_0,0.90567294740183,0.629507765095893
c_m_alpha,0.0823598821356865,0.0863845675449843
c_m_q,0.0212867816683258,0.0576862858740316
c_m_delta_e,0.195108585593733,0.156749496483523
c_Y_beta,0.27118486090766,0.251398488938267
c_Y_p,1.26212653625134,0.938606442929455
c_Y_r,0.0662302012021095,0.0580486064816138
c_Y_delta_a,0.0022160916162334,0.00246475053496791
c_Y_delta_r,0.03683284992121,0.0383276012192961
c_l_beta,0.924062372789422,1.01596822846696
c_l_p,0.018520007506398,0.0198927188092703
c_l_r,0,0
c_l_delta_a,0,0
c_l_delta_r,0,0
c_n_beta,0,0
c_n_p,0,0
c_n_r,0,0
c_n_delta_a,0,0
