Row,Model_1,Model_2,Model_3,Model_4,Model_5
servo_rate_lim_rad_s,3.4907,3.4907,3.4907,3.4907,3.4907
aileron_trim_rad,0,0,0,0,0
elevator_trim_rad,-0.0455531632902221,-0.0455531632902221,-0.0455531632902221,-0.0455531632902221,-0.0455531632902221
rudder_trim_rad,0,0,0,0,0
c_T_0_pusher,0.0861,0.0861,0.0861,0.0861,0.0861
c_T_top,0,0,0,0,0
c_Q_top,0,0,0,0,0
c_T_J_pusher,0.0933798005892541,0.100215431283442,0.108467592842065,0.0905844055512429,0.0952374236774143
c_L_0,0.4511,0.4511,0.4511,0.4511,0.4511
c_L_alpha,3.4542,3.4542,3.4542,3.4542,3.4542
c_L_q,7.59494532556077,7.84350086977534,7.27205590221114,8.00755985573012,7.13215133894512
c_L_delta_e,0.378891093924898,0.383461567683759,0.339283136512522,0.378790317247875,0.37512556000879
c_D_p,0.0729,0.0729,0.0729,0.0729,0.0729
c_D_alpha,0.3501,0.3501,0.3501,0.3501,0.3501
c_D_alpha_sq,0.2621,0.2621,0.2621,0.2621,0.2621
c_D_q,-0.00981525871381102,-0.0242781234679463,0.095949675671217,0.0157050122046878,0.044245499716348
c_D_delta_e,0.0148634566668204,0.0156426207401127,0.0145449872182344,0.0139513146715453,0.013566927811245
c_m_0,0.104404192329444,0.0845185551332538,0.10618778218968,0.127437208424701,0.101975462077413
c_m_alpha,-1.41420134948091,-1.40026638151578,-1.52857189238131,-1.81206822975209,-1.59627526922521
c_m_q,-17.8229980791895,-17.8229993844232,-17.8229999933767,-17.8229999996279,-17.8229999371181
c_m_delta_e,-0.627352529585577,-0.745606508763722,-0.679362691991821,-0.820498249577168,-0.699551770402929
c_Y_beta,-0.351976,-0.351976,-0.351976,-0.351976,-0.351976
c_Y_p,0.112085,0.112085,0.112085,0.112085,0.112085
c_Y_r,0.258965,0.258965,0.258965,0.258965,0.258965
c_Y_delta_a,-0.00057,-0.00057,-0.00057,-0.00057,-0.00057
c_Y_delta_r,0.00558,0.00558,0.00558,0.00558,0.00558
c_l_beta,-0.02498,-0.02498,-0.02498,-0.02498,-0.02498
c_l_p,-0.472,-0.472,-0.472,-0.472,-0.472
c_l_r,0.141,0.141,0.141,0.141,0.141
c_l_delta_a,0.283041150794627,0.283041150794627,0.283041150794627,0.283041150794627,0.283041150794627
c_l_delta_r,-0.00830788802939694,-0.00830788802939694,-0.00830788802939694,-0.00830788802939694,-0.00830788802939694
c_n_beta,0.11104,0.11104,0.11104,0.11104,0.11104
c_n_p,-0.0635,-0.0635,-0.0635,-0.0635,-0.0635
c_n_r,-0.0869,-0.0869,-0.0869,-0.0869,-0.0869
c_n_delta_a,0.0103132403123548,0.0103132403123548,0.0103132403123548,0.0103132403123548,0.0103132403123548
