Row,Model_1,Model_2,Model_3,Model_4,Model_5
servo_rate_lim_rad_s,0,0,0,0,0
aileron_trim_rad,0,0,0,0,0
elevator_trim_rad,0,0,0,0,0
rudder_trim_rad,0,0,0,0,0
c_T_0_pusher,0,0,0,0,0
c_T_top,0,0,0,0,0
c_Q_top,0,0,0,0,0
c_T_J_pusher,0,0,0,0,0
c_L_0,0,0,0,0,0
c_L_alpha,0,0,0,0,0
c_L_q,0,0,0,0,0
c_L_delta_e,0,0,0,0,0
c_D_p,0,0,0,0,0
c_D_alpha,0,0,0,0,0
c_D_alpha_sq,0,0,0,0,0
c_D_q,0,0,0,0,0
c_D_delta_e,0,0,0,0,0
c_m_0,0,0,0,0,0
c_m_alpha,0,0,0,0,0
c_m_q,0,0,0,0,0
c_m_delta_e,0,0,0,0,0
c_Y_beta,0,0,0,0,0
c_Y_p,0,0,0,0,0
c_Y_r,0,0,0,0,0
c_Y_delta_a,0.00162703063568577,0.00154342529097871,0.00164264711372062,0.00220761232746369,0.00157691052771458
c_Y_delta_r,0.0167438484249446,0.0155459388499049,0.0180420270433013,0.023387313042432,0.0157867203468037
c_l_beta,0.572756774066646,0.580024228953969,0.623623211684387,0.750529330180266,0.588692932396135
c_l_p,0.00973965673265128,0.0114562141118877,0.0116226444095992,0.0162110442192706,0.0114749134213876
c_l_r,0,0,0,0,0
c_l_delta_a,0,0,0,0,0
c_l_delta_r,0,0,0,0,0
c_n_beta,0,0,0,0,0
c_n_p,0,0,0,0,0
c_n_r,0,0,0,0,0
c_n_delta_a,0,0,0,0,0
